,time,open,high,low,close,vol
0,2018-03-15 14:07:24,102920.0,102930.0,102900.0,102940.0,304
1,2018-03-15 14:09:00,102940.0,103160.0,102930.0,103090.0,4434
2,2018-03-15 14:12:00,103090.0,103150.0,103080.0,103070.0,2288
3,2018-03-15 14:15:00,103070.0,103120.0,103030.0,103020.0,1322
4,2018-03-15 14:18:00,103020.0,103040.0,102990.0,103020.0,1990
5,2018-03-15 14:21:00,103020.0,103050.0,103000.0,102980.0,748
6,2018-03-15 14:24:00,102980.0,102980.0,102920.0,102920.0,1490
7,2018-03-15 14:27:00,102920.0,102970.0,102910.0,102990.0,1178
8,2018-03-15 14:30:00,103000.0,103120.0,102980.0,103100.0,1650
9,2018-03-15 14:33:00,103110.0,103130.0,103030.0,103030.0,902
10,2018-03-15 14:36:00,103030.0,103120.0,103030.0,103100.0,486
11,2018-03-15 14:39:00,103100.0,103270.0,103080.0,103220.0,2758
12,2018-03-15 14:42:00,103220.0,103250.0,103200.0,103250.0,1150
13,2018-03-15 14:45:00,103240.0,103250.0,103190.0,103190.0,700
14,2018-03-15 14:48:00,103190.0,103190.0,103020.0,103080.0,1952
15,2018-03-15 14:51:00,103090.0,103130.0,103080.0,103110.0,642
16,2018-03-15 14:54:00,103110.0,103340.0,103070.0,103320.0,2928
17,2018-03-15 14:57:00,103320.0,103350.0,103300.0,103310.0,948
